iter	Passed	Remaining
487	99212	104092
488	99415	103887
489	99616	103682
490	99799	103458
491	99968	103219
492	100159	103004
493	100371	102810
494	100535	102566
495	100735	102360
496	100933	102152
497	101138	101950
498	101329	101735
499	101565	101565
500	101784	101378
501	101992	101179
502	102184	100965
503	102377	100751
504	102556	100525
505	102755	100319
506	102933	100091
507	103116	99868
508	103298	99645
509	103475	99417
510	103637	99175
511	103861	98993
512	104090	98815
513	104288	98607
514	104476	98390
515	104691	98199
516	104858	97962
517	105073	97770
518	105271	97563
519	105492	97377
520	105682	97163
521	105876	96952
522	106082	96752
523	106294	96557
524	106486	96344
525	106656	96112
526	106844	95896
527	107070	95714
528	107300	95536
529	107522	95350
530	107735	95156
531	107930	94946
532	108133	94743
533	108324	94530
534	108512	94314
535	108729	94124
536	108997	93977
537	109224	93795
538	109404	93572
539	109639	93396
540	109845	93195
541	110021	92970
542	110207	92752
543	110428	92564
544	110611	92345
545	110802	92132
546	110988	91915
547	111162	91688
548	111331	91458
549	111515	91239
550	111739	91054
551	111913	90828
552	112118	90627
553	112323	90426
554	112513	90213
555	112727	90019
556	112904	89796
557	113086	89577
558	113285	89371
559	113471	89156
560	113649	88934
561	113876	88750
562	114122	88581
563	114326	88380
564	114507	88160
565	114710	87958
566	114884	87733
567	115107	87546
568	115286	87326
569	115481	87117
570	115666	86901
571	115881	86708
572	116112	86526
573	116355	86354
574	116559	86152
575	116767	85954
576	116977	85756
577	117197	85566
578	117360	85334
579	117565	85133
580	117766	84929
581	117998	84748
582	118163	84518
583	118365	84315
584	118586	84125
585	118802	83932
586	118998	83724
587	119222	83536
588	119424	83333
589	119617	83123
590	119829	82927
591	119974	82685
592	120177	82482
593	120380	82280
594	120670	82137
595	120940	81980
596	121190	81808
597	121411	81617
598	121668	81450
599	121919	81279
600	122178	81113
601	122372	80904
602	122583	80705
603	122773	80493
604	122973	80288
605	123178	80086
606	123379	79881
607	123611	79696
608	123811	79491
609	124004	79281
610	124222	79087
611	124412	78875
612	124613	78670
613	124783	78446
614	125005	78255
615	125192	78042
616	125398	77840
617	125577	77622
618	125777	77416
619	125983	77215
620	126195	77017
621	126448	76844
622	126630	76628
623	126823	76419
624	127028	76217
625	127222	76008
626	127452	75821
627	127624	75599
628	127834	75400
629	128019	75185
630	128224	74983
631	128418	74775
632	128613	74567
633	128795	74352
634	129024	74163
635	129243	73969
636	129507	73800
637	129705	73594
638	129908	73391
639	130145	73206
640	130317	72986
641	130485	72763
642	130701	72566
643	130887	72353
644	131077	72143
645	131275	71937
646	131482	71736
647	131676	71528
648	131887	71329
649	132098	71130
650	132291	70921
651	132477	70708
652	132653	70491
653	132849	70284
654	133042	70075
655	133249	69874
656	133429	69659
657	133630	69455
658	133808	69239
659	133999	69030
660	134159	68804
661	134341	68591
662	134575	68403
663	134789	68206
664	135042	68028
665	135269	67837
666	135597	67696
667	136470	67826
668	137298	67930
669	137934	67938
670	138561	67938
671	139147	67917
672	139434	67748
673	139680	67560
674	140059	67435
675	140283	67236
676	140516	67041
677	140786	66862
678	141039	66676
679	141323	66505
680	141601	66330
681	141868	66149
682	142155	65978
683	142437	65804
684	142635	65591
685	142859	65390
686	143118	65205
687	143374	65018
688	143632	64832
689	143888	64645
690	144157	64463
691	144455	64295
692	144751	64125
693	145011	63938
694	145278	63755
695	145485	63545
696	145729	63351
697	145999	63168
698	146290	62994
699	146623	62838
700	147170	62773
701	147862	62767
702	148362	62679
703	148937	62621
704	149403	62516
705	149772	62370
706	150079	62196
707	150336	62003
708	150515	61777
709	150760	61578
710	150978	61368
711	151172	61148
712	151404	60944
713	151622	60733
714	151820	60515
715	151987	60285
716	152215	60079
717	152427	59867
718	152720	59686
719	153004	59501
720	153320	59329
721	153529	59115
722	153741	58902
723	153924	58678
724	154126	58461
725	154315	58240
726	154529	58028
727	154759	57822
728	154975	57610
729	155204	57404
730	155381	57178
731	155550	56950
732	155719	56721
733	155888	56493
734	156058	56265
735	156229	56038
736	156435	55824
737	156638	55608
738	156852	55397
739	157022	55169
740	157210	54949
741	157404	54731
742	157582	54506
743	157783	54291
744	157963	54067
745	158201	53864
746	158364	53636
747	158556	53417
748	158838	53228
749	159113	53037
750	159448	52866
751	159832	52710
752	160459	52634
753	160792	52460
754	161467	52396
755	161904	52254
756	165330	53071
757	165330	53071
758	170243	54127
