iter	Logloss
0	0.6437381189
1	0.6014530274
2	0.5654975352
3	0.5358745182
4	0.5101343552
5	0.4865461334
6	0.465245751
7	0.4469844709
8	0.4309527952
9	0.417772475
10	0.4061006207
11	0.395973572
12	0.3853125907
13	0.3758544941
14	0.367882452
15	0.3612336585
16	0.3554600119
17	0.3503173109
18	0.345869714
19	0.3418188391
20	0.3384296167
21	0.3354075557
22	0.3325082059
23	0.3299844309
24	0.3278092614
25	0.3258523473
26	0.3242166517
27	0.3226767982
28	0.3212420642
29	0.3199546346
30	0.3188331647
31	0.3177480513
32	0.3168379539
33	0.316020505
34	0.3152878362
35	0.3146412884
36	0.313938577
37	0.3134214893
38	0.3128473371
39	0.3123757467
40	0.3118687128
41	0.3113618429
42	0.3109708112
43	0.310580901
44	0.3102085044
45	0.3099012295
46	0.3095621921
47	0.3092708805
48	0.3089881936
49	0.3087024661
50	0.3084301152
51	0.3081633055
52	0.3079614045
53	0.3077904252
54	0.3075900123
55	0.3074480756
56	0.3072849676
57	0.3071330275
58	0.3069865595
59	0.3068469464
60	0.3067266467
61	0.3065851736
62	0.3064712384
63	0.3063194904
64	0.3061718992
65	0.3060519454
66	0.3059398763
67	0.3058327718
68	0.305728807
69	0.3056298914
70	0.3054933073
71	0.3053035568
72	0.3051321012
73	0.3050284529
74	0.3049418764
75	0.3047930378
76	0.3046887064
77	0.3046064979
78	0.3045186641
79	0.3043778881
80	0.3042850856
81	0.3041920135
82	0.3041130241
83	0.3040128986
84	0.303960783
85	0.3039097155
86	0.3038264082
87	0.3037536465
88	0.3037020694
89	0.3036645028
90	0.3036204704
91	0.3035577539
92	0.3034666565
93	0.303404851
94	0.3033618522
95	0.3032926022
96	0.3032335016
97	0.3031841208
98	0.3031240859
99	0.3030760783
100	0.3030433565
101	0.3029916133
102	0.3029376114
103	0.3029006747
104	0.3028416828
105	0.3027899655
106	0.3027528617
107	0.302677144
108	0.3026310369
109	0.3025998667
110	0.3025736935
111	0.3025213669
112	0.3024932291
113	0.3024432562
114	0.302415877
115	0.3023886633
116	0.3023556534
117	0.3022974384
118	0.3022696495
119	0.302218098
120	0.302184726
121	0.3021337377
122	0.3021016885
123	0.3020769054
124	0.302014592
125	0.301996988
126	0.3019756921
127	0.3019483359
128	0.3019463896
129	0.3019162874
130	0.3018839051
131	0.3018373239
132	0.3018191826
133	0.3017893439
134	0.301767223
135	0.3017656147
136	0.301742643
137	0.3017084111
138	0.3016574184
139	0.3016479425
140	0.3016234526
141	0.3015939317
142	0.3015897052
